Timestamp,Value,Type
1:39:27 am.241,"Updated Distance: 3.00 cm\r\n",received
1:39:28 am.263,"Updated Distance: 0.00 cm\r\n",received
1:39:28 am.263,"Distance: 0.00 cm\r\n",received
1:39:30 am.284,"Updated Distance: 11.00 cm\r\n",received
1:39:30 am.284,"Distance: 11.00 cm\r\n",received
1:39:33 am.317,"Updated Distance: 0.00 cm\r\n",received
1:39:33 am.317,"Distance: 0.00 cm\r\n",received
1:39:35 am.357,"Updated Distance: 73.00 cm\r\n",received
1:39:35 am.357,"Distance: 73.00 cm\r\n",received
1:39:37 am.391,"Updated Distance: 10.00 cm\r\n",received
1:39:37 am.391,"Distance: 10.00 cm\r\n",received
1:39:39 am.418,"Updated Distance: 11.00 cm\r\n",received
1:39:39 am.418,"Distance: 11.00 cm\r\n",received
1:39:41 am.449,"Updated Distance: 3.00 cm\r\n",received
1:39:41 am.449,"Distance: 3.00 cm\r\n",received
1:39:43 am.480,"Updated Distance: 9.00 cm\r\n",received
1:39:43 am.480,"Distance: 9.00 cm\r\n",received
1:39:45 am.507,"Updated Distance: 14.00 cm\r\n",received
1:39:45 am.507,"Distance: 14.00 cm\r\n",received
1:39:48 am.556,"Updated Distance: 0.00 cm\r\n",received
1:39:48 am.556,"Distance: 0.00 cm\r\n",received
1:39:50 am.565,"Updated Distance: 12.00 cm\r\n",received
1:39:50 am.565,"Distance: 12.00 cm\r\n",received
1:39:52 am.607,"Updated Distance: 9.00 cm\r\n",received
1:39:52 am.607,"Distance: 9.00 cm\r\n",received
1:39:54 am.636,"Updated Distance: 21.00 cm\r\n",received
1:39:54 am.636,"Distance: 21.00 cm\r\n",received
1:39:56 am.665,"Distance: 21.00 cm\r\n",received
1:39:58 am.694,"Updated Distance: 10.00 cm\r\n",received
1:39:58 am.694,"Distance: 10.00 cm\r\n",received
1:40:00 am.738,"Updated Distance: 8.00 cm\r\n",received
1:40:00 am.738,"Distance: 8.00 cm\r\n",received
1:40:02 am.763,"Updated Distance: 17.00 cm\r\n",received
1:40:02 am.763,"Distance: 17.00 cm\r\n",received
1:40:04 am.794,"Updated Distance: 6.00 cm\r\n",received
1:40:04 am.794,"Distance: 6.00 cm\r\n",received
1:40:06 am.882,"Updated Distance: 1190.00 cm\r\n",received
1:40:06 am.906,"Distance: 1190.00 cm\r\n",received
1:40:08 am.918,"Updated Distance: 67.00 cm\r\n",received
1:40:08 am.937,"Distance: 67.00 cm\r\n",received
1:40:10 am.972,"Updated Distance: 16.00 cm\r\n",received
1:40:10 am.972,"Distance: 16.00 cm\r\n",received
1:40:12 am.999,"Updated Distance: 11.00 cm\r\n",received
1:40:12 am.999,"Distance: 11.00 cm\r\n",received
1:40:15 am.16,"Updated Distance: 7.00 cm\r\n",received
1:40:15 am.30,"Distance: 7.00 cm\r\n",received
1:40:17 am.71,"Updated Distance: 10.00 cm\r\n",received
1:40:17 am.71,"Distance: 10.00 cm\r\n",received
1:40:19 am.101,"Updated Distance: 71.00 cm\r\n",received
1:40:19 am.101,"Distance: 71.00 cm\r\n",received
1:40:21 am.129,"Updated Distance: 5.00 cm\r\n",received
1:40:21 am.129,"Distance: 5.00 cm\r\n",received
1:40:23 am.157,"Updated Distance: 7.00 cm\r\n",received
1:40:23 am.157,"Distance: 7.00 cm\r\n",received
1:40:25 am.194,"Updated Distance: 5.00 cm\r\n",received
1:40:25 am.194,"Distance: 5.00 cm\r\n",received
1:40:27 am.223,"Updated Distance: 10.00 cm\r\n",received
1:40:27 am.223,"Distance: 10.00 cm\r\n",received
1:40:29 am.280,"Updated Distance: 302.00 cm\r\n",received
1:40:29 am.280,"Distance: 302.00 cm\r\n",received
1:40:31 am.306,"Updated Distance: 22.00 cm\r\n",received
1:40:31 am.306,"Distance: 22.00 cm\r\n",received
1:40:33 am.335,"Updated Distance: 12.00 cm\r\n",received
1:40:33 am.335,"Distance: 12.00 cm\r\n",received
1:40:35 am.376,"Updated Distance: 9.00 cm\r\n",received
1:40:35 am.376,"Distance: 9.00 cm\r\n",received
1:40:37 am.404,"Updated Distance: 3.00 cm\r\n",received
1:40:37 am.404,"Distance: 3.00 cm\r\n",received
1:40:39 am.432,"Updated Distance: 57.00 cm\r\n",received
1:40:39 am.432,"Distance: 57.00 cm\r\n",received
1:40:41 am.463,"Updated Distance: 12.00 cm\r\n",received
1:40:41 am.463,"Distance: 12.00 cm\r\n",received
1:40:43 am.493,"Updated Distance: 4.00 cm\r\n",received
1:40:43 am.493,"Distance: 4.00 cm\r\n",received
1:40:45 am.533,"Updated Distance: 56.00 cm\r\n",received
1:40:45 am.533,"Distance: 56.00 cm\r\n",received
1:40:47 am.560,"Distance: 56.00 cm\r\n",received
1:40:49 am.589,"Updated Distance: 57.00 cm\r\n",received
1:40:49 am.589,"Distance: 57.00 cm\r\n",received
1:40:51 am.692,"Updated Distance: 1190.00 cm\r\n",received
1:40:51 am.692,"Distance: 1190.00 cm\r\n",received
1:40:53 am.805,"Distance: 1190.00 cm\r\n",received
1:40:55 am.897,"Distance: 1190.00 cm\r\n",received
1:40:57 am.930,"Updated Distance: 56.00 cm\r\n",received
1:40:57 am.930,"Distance: 56.00 cm\r\n",received
1:41:00 am.19,"Updated Distance: 1190.00 cm\r\n",received
1:41:00 am.19,"Distance: 1190.00 cm\r\n",received
1:41:02 am.138,"Distance: 1190.00 cm\r\n",received
1:41:04 am.234,"Distance: 1190.00 cm\r\n",received
1:41:06 am.326,"Updated Distance: 1189.00 cm\r\n",received
1:41:06 am.326,"Distance: 1189.00 cm\r\n",received
1:41:08 am.363,"Updated Distance: 4.00 cm\r\n",received
1:41:08 am.363,"Distance: 4.00 cm\r\n",received
1:41:10 am.394,"Updated Distance: 79.00 cm\r\n",received
1:41:10 am.394,"Distance: 79.00 cm\r\n",received
1:41:12 am.428,"Updated Distance: 78.00 cm\r\n",received
1:41:12 am.428,"Distance: 78.00 cm\r\n",received
1:41:14 am.451,"Updated Distance: 17.00 cm\r\n",received
1:41:14 am.474,"Distance: 17.00 cm\r\n",received
1:41:16 am.492,"Updated Distance: 4.00 cm\r\n",received
1:41:16 am.492,"Distance: 4.00 cm\r\n",received
1:41:18 am.524,"Updated Distance: 66.00 cm\r\n",received
1:41:18 am.524,"Distance: 66.00 cm\r\n",received
1:41:20 am.571,"Updated Distance: 67.00 cm\r\n",received
1:41:20 am.571,"Distance: 67.00 cm\r\n",received
1:41:22 am.601,"Updated Distance: 74.00 cm\r\n",received
1:41:22 am.601,"Distance: 74.00 cm\r\n",received
1:41:24 am.631,"Updated Distance: 42.00 cm\r\n",received
1:41:24 am.631,"Distance: 42.00 cm\r\n",received
1:41:26 am.662,"Distance: 42.00 cm\r\n",received
1:41:28 am.703,"Updated Distance: 74.00 cm\r\n",received
1:41:28 am.703,"Distance: 74.00 cm\r\n",received
1:41:30 am.733,"Updated Distance: 42.00 cm\r\n",received
1:41:30 am.733,"Distance: 42.00 cm\r\n",received
1:41:32 am.764,"Updated Distance: 39.00 cm\r\n",received
1:41:32 am.764,"Distance: 39.00 cm\r\n",received
1:41:34 am.793,"Updated Distance: 4.00 cm\r\n",received
1:41:34 am.793,"Distance: 4.00 cm\r\n",received
1:41:36 am.820,"Updated Distance: 36.00 cm\r\n",received
1:41:36 am.820,"Distance: 36.00 cm\r\n",received
1:41:38 am.864,"Updated Distance: 74.00 cm\r\n",received
1:41:38 am.864,"Distance: 74.00 cm\r\n",received
1:41:40 am.905,"Updated Distance: 108.00 cm\r\n",received
1:41:40 am.905,"Distance: 108.00 cm\r\n",received
1:41:43 am.0,"Updated Distance: 1189.00 cm\r\n",received
1:41:43 am.0,"Distance: 1189.00 cm\r\n",received
1:41:45 am.29,"Updated Distance: 75.00 cm\r\n",received
1:41:45 am.29,"Distance: 75.00 cm\r\n",received
1:41:47 am.75,"Updated Distance: 106.00 cm\r\n",received
1:41:47 am.75,"Distance: 106.00 cm\r\n",received
1:41:49 am.177,"Updated Distance: 1188.00 cm\r\n",received
1:41:49 am.177,"Distance: 1188.00 cm\r\n",received
1:41:51 am.203,"Updated Distance: 72.00 cm\r\n",received
1:41:51 am.203,"Distance: 72.00 cm\r\n",received
1:41:53 am.323,"Updated Distance: 1189.00 cm\r\n",received
1:41:53 am.323,"Distance: 1189.00 cm\r\n",received
1:41:55 am.415,"Distance: 1189.00 cm\r\n",received
1:41:57 am.446,"Updated Distance: 71.00 cm\r\n",received
1:41:57 am.446,"Distance: 71.00 cm\r\n",received
1:41:59 am.484,"Updated Distance: 72.00 cm\r\n",received
1:41:59 am.484,"Distance: 72.00 cm\r\n",received
1:42:01 am.511,"Updated Distance: 68.00 cm\r\n",received
1:42:01 am.511,"Distance: 68.00 cm\r\n",received
1:42:03 am.539,"Updated Distance: 71.00 cm\r\n",received
1:42:03 am.557,"Distance: 71.00 cm\r\n",received
1:42:05 am.576,"Updated Distance: 105.00 cm\r\n",received
1:42:05 am.597,"Distance: 105.00 cm\r\n",received
1:42:07 am.628,"Updated Distance: 69.00 cm\r\n",received
1:42:07 am.628,"Distance: 69.00 cm\r\n",received
1:42:09 am.660,"Updated Distance: 14.00 cm\r\n",received
1:42:09 am.660,"Distance: 14.00 cm\r\n",received
1:42:11 am.693,"Updated Distance: 4.00 cm\r\n",received
1:42:11 am.693,"Distance: 4.00 cm\r\n",received
1:42:13 am.723,"Updated Distance: 3.00 cm\r\n",received
1:42:13 am.723,"Distance: 3.00 cm\r\n",received
1:42:15 am.753,"Distance: 3.00 cm\r\n",received
1:42:17 am.781,"Distance: 3.00 cm\r\n",received
1:42:19 am.802,"Distance: 3.00 cm\r\n",received
1:42:21 am.832,"Updated Distance: 4.00 cm\r\n",received
1:42:21 am.832,"Distance: 4.00 cm\r\n",received
1:42:23 am.860,"Updated Distance: 15.00 cm\r\n",received
1:42:23 am.860,"Distance: 15.00 cm\r\n",received
1:42:25 am.899,"Updated Distance: 44.00 cm\r\n",received
1:42:25 am.899,"Distance: 44.00 cm\r\n",received
1:42:27 am.927,"Updated Distance: 47.00 cm\r\n",received
1:42:27 am.927,"Distance: 47.00 cm\r\n",received
1:42:29 am.964,"Updated Distance: 44.00 cm\r\n",received
1:42:29 am.964,"Distance: 44.00 cm\r\n",received
1:42:31 am.995,"Updated Distance: 64.00 cm\r\n",received
1:42:31 am.995,"Distance: 64.00 cm\r\n",received
1:42:35 am.27,"Updated Distance: 0.00 cm\r\n",received
1:42:35 am.27,"Distance: 0.00 cm\r\n",received
1:42:38 am.72,"Distance: 0.00 cm\r\n",received
1:42:40 am.147,"Updated Distance: 1189.00 cm\r\n",received
1:42:40 am.147,"Distance: 1189.00 cm\r\n",received
1:42:43 am.196,"Updated Distance: 0.00 cm\r\n",received
1:42:43 am.196,"Distance: 0.00 cm\r\n",received
1:42:46 am.231,"Distance: 0.00 cm\r\n",received
1:42:48 am.322,"Updated Distance: 1189.00 cm\r\n",received
1:42:48 am.322,"Distance: 1189.00 cm\r\n",received
1:42:51 am.353,"Updated Distance: 0.00 cm\r\n",received
1:42:51 am.353,"Distance: 0.00 cm\r\n",received
1:42:54 am.391,"Distance: 0.00 cm\r\n",received
1:42:56 am.484,"Updated Distance: 1189.00 cm\r\n",received
1:42:56 am.484,"Distance: 1189.00 cm\r\n",received
1:42:58 am.521,"Updated Distance: 50.00 cm\r\n",received
1:42:58 am.521,"Distance: 50.00 cm\r\n",received
1:43:00 am.556,"Updated Distance: 55.00 cm\r\n",received
1:43:00 am.556,"Distance: 55.00 cm\r\n",received
1:43:02 am.584,"Updated Distance: 56.00 cm\r\n",received
1:43:02 am.584,"Distance: 56.00 cm\r\n",received
1:43:04 am.612,"Distance: 56.00 cm\r\n",received
1:43:06 am.656,"Updated Distance: 69.00 cm\r\n",received
1:43:06 am.656,"Distance: 69.00 cm\r\n",received
1:43:08 am.684,"Updated Distance: 22.00 cm\r\n",received
1:43:08 am.684,"Distance: 22.00 cm\r\n",received
1:43:10 am.716,"Distance: 22.00 cm\r\n",received
1:43:12 am.809,"Updated Distance: 1189.00 cm\r\n",received
1:43:12 am.809,"Distance: 1189.00 cm\r\n",received
1:43:14 am.915,"Distance: 1189.00 cm\r\n",received
1:43:16 am.947,"Updated Distance: 55.00 cm\r\n",received
1:43:16 am.947,"Distance: 55.00 cm\r\n",received
