timestamp,x,y,z
2023853,0.12,0.12,0.24
2023955,0.12,0.12,0.24
2024058,0.12,0.06,0.18
2024160,0.12,0.12,0.18
2024262,0.12,0.12,0.18
2024365,0.18,0.06,0.18
2024468,0.12,0.12,0.24
2024570,0.12,0.12,0.18
2024673,0.18,0.12,0.18
2024776,0.12,0.18,0.18
2024878,0.12,0.12,0.18
2024981,0.18,0.12,0.18
2025084,0.18,0.12,0.18
2025187,0.18,0.12,0.18
2025290,0.18,0.12,0.18
2025392,0.18,0.12,0.18
2025495,0.12,0.12,0.18
2025597,0.24,0.06,0.18
2025699,0.31,0.06,0.18
2025802,0.43,0.0,0.31
2025904,-0.37,0.18,0.67
2026007,-0.12,0.12,0.55
2026109,-0.06,0.0,0.49
2026211,0.06,0.06,0.31
2026314,0.12,0.12,0.24
2026416,0.24,0.06,0.18
2026518,0.0,0.12,0.24
2026621,0.12,0.06,0.18
2026723,0.12,0.24,0.06
2026826,0.18,0.12,0.12
2026929,0.12,0.18,0.18
2027031,0.18,0.12,0.18
2027133,0.24,0.12,0.12
2027236,0.18,0.12,0.24
2027339,0.06,0.18,0.18
2027442,0.24,0.06,0.24
2027544,0.12,0.12,0.24
2027647,0.12,0.06,0.18
2027749,0.12,0.12,0.24
2027851,0.12,0.12,0.24
2027955,0.18,0.18,0.18
2028057,0.12,0.12,0.31
2028159,0.12,0.12,0.24
2028262,0.06,0.18,0.18
2028365,0.18,0.0,0.18
2028467,0.0,0.06,0.31
2028569,0.24,0.12,0.12
2028671,0.0,0.31,-0.12
2028774,15.75,17.88,9.46
2028877,-286.38,73.79,49.13
2028980,81.42,26.37,-46.57
2029082,159.55,-109.74,32.41
2029184,-53.59,-75.26,130.0
2029287,-150.21,-204.83,72.75
2029389,-293.09,-232.42,-22.95
2029492,-309.94,-4.03,-20.94
2029594,156.25,78.37,2.62
2029697,138.85,179.5,81.91
2029800,7.93,364.81,325.38
2029902,-17.58,-24.54,-28.5
2030005,-35.95,13.43,4.52
2030107,-21.67,31.56,-28.44
2030210,45.1,41.99,-41.81
2030312,73.55,-20.63,10.38
2030415,12.76,-3.05,3.17
2030517,30.88,-9.28,0.49
2030620,-348.33,123.84,62.56
2030723,89.78,-61.16,14.47
2030825,-42.48,-5.68,25.94
2030927,70.98,89.66,-42.18
2031030,8.54,-13.31,6.29
2031132,0.12,-5.0,5.74
2031235,19.35,-16.66,-4.33
2031339,10.62,-21.97,-6.1
2031441,-65.0,-11.78,-11.47
2031543,-15.38,-9.7,-9.16
2031646,-26.43,2.14,2.62
2031749,30.21,5.19,17.4
2031852,73.43,13.67,33.45
2031955,4.46,-1.59,0.0
2032058,0.37,-1.77,-2.62
2032160,-34.12,27.28,20.63
2032263,-5.74,3.17,2.32
2032366,3.91,-2.14,-0.55
2032468,-5.49,4.39,3.72
2032571,4.82,-2.56,-3.42
2032674,-3.54,2.87,4.15
2032776,1.46,-1.16,-1.65
2032879,-0.06,0.31,0.55
2032983,-0.43,0.43,0.43
2033085,1.04,-0.37,-0.18
2033188,-0.92,0.55,0.61
2033291,1.16,-0.67,-0.85
2033394,-0.24,0.67,1.46
2033496,0.98,-0.37,-0.37
2033599,0.12,0.43,1.16
2033702,0.55,-0.06,-0.12
2033805,-0.18,0.43,0.49
2033908,0.0,0.0,-0.24
2034011,-0.67,0.49,0.24
2034113,0.06,0.0,-0.12
2034216,-0.06,0.24,0.31
2034318,-0.18,0.18,-0.06
2034421,-0.12,0.24,0.18
2034523,2.81,-0.18,-0.06
2034626,-1.46,0.31,-0.06
2034729,0.31,0.06,0.06
2034831,0.12,0.12,0.37
2034933,0.18,0.12,0.18
2035036,0.24,0.06,0.43
2035138,-0.12,0.24,0.06
2035241,0.06,0.18,0.24
2035344,0.18,0.06,0.24
2035447,0.24,0.12,0.24
2035550,0.12,0.12,0.18
2035653,0.43,0.12,0.31
2035755,0.18,0.06,0.12
2035858,0.0,0.12,0.31
2035960,0.18,0.06,0.31
2036063,0.06,0.18,0.12
2036166,0.12,0.12,0.18
2036268,0.18,0.06,0.18
2036371,0.0,0.12,0.18
2036473,0.12,0.12,0.18
2036576,0.18,0.12,0.24
2036679,0.06,0.18,0.24
2036781,0.24,0.12,0.24
2036884,0.0,0.24,0.31
2036986,0.0,0.18,0.24
2037089,0.0,0.12,0.12
2037192,-0.06,0.18,0.18
2037295,0.24,0.12,0.06
2037397,0.24,0.12,0.37
2037500,0.18,0.06,0.37
2037602,0.31,0.12,0.18
2037705,0.18,0.12,0.18
2037807,0.12,0.18,0.18
2037910,0.12,0.12,0.18
2038013,0.12,0.12,0.18
2038115,0.12,0.18,0.24
2038217,0.18,0.12,0.18
2038320,0.06,0.18,0.24
2038422,-0.06,0.18,0.06
2038525,-0.43,0.24,0.06
2038628,-1.59,0.73,0.98
2038731,1.28,-0.24,-0.06
2038833,-0.18,0.18,0.31
2038936,-0.12,0.24,0.18
2039038,0.0,0.18,0.12
2039141,-0.06,0.18,0.24
2039243,0.18,0.12,0.24
2039346,0.12,0.12,0.24
2039448,0.06,0.12,0.37
2039551,0.06,0.06,0.06
2039654,-0.37,0.12,0.43
2039756,-0.12,0.31,0.37
2039859,-0.24,0.12,0.06
2039962,-0.31,0.18,0.24
2040064,0.18,0.06,0.18
2040167,0.06,0.12,0.12
2040269,0.06,0.12,0.18
2040371,0.12,0.06,0.18
2040474,0.18,0.18,0.31
2040576,0.18,0.06,0.31
2040678,0.06,0.06,0.24
2040781,0.06,0.12,0.24
2040883,0.06,0.12,0.24
2040986,-0.06,0.18,0.37
2041088,0.31,0.24,0.73
2041191,-0.24,0.31,0.31
2041293,0.12,0.0,0.18
2041396,0.31,0.06,0.18
2041499,0.24,0.12,0.18
2041601,-0.24,0.24,0.06
2041703,0.31,0.12,0.24
2041807,0.0,0.18,0.24
2041909,0.0,0.18,0.24
2042012,0.12,0.18,0.18
2042114,0.24,0.12,0.18
2042217,0.06,0.12,0.18
2042319,0.06,0.12,0.12
2042422,0.31,0.12,0.24
2042524,0.12,0.12,0.24
2042627,0.12,0.12,0.18
2042729,-0.06,0.18,0.18
2042832,0.0,0.12,0.12
2042935,0.24,0.12,0.24
2043037,0.18,0.18,0.31
2043140,0.12,0.12,0.24
2043243,0.12,0.12,0.24
2043346,0.12,0.18,0.12
2043448,0.18,0.12,0.18
2043550,0.31,0.06,0.24
2043653,0.12,0.12,0.24
2043755,0.12,0.12,0.24
2043858,0.0,0.12,0.18
2043960,0.0,0.18,0.24
2044063,0.12,0.06,0.12
2044166,0.06,0.12,0.18
2044268,-0.24,0.24,0.12
2044371,-0.24,0.24,-0.06
2044474,-0.12,0.18,0.24
2044576,0.18,0.06,0.18
2044679,0.12,0.12,0.37
2044781,0.31,0.06,0.31
2044884,0.67,-0.06,0.43
2044987,0.12,0.18,0.18
2045089,0.18,0.12,0.24
2045192,0.43,0.06,0.24
2045295,0.24,0.06,0.24
2045397,0.31,0.06,0.31
2045499,0.18,0.12,0.24
2045602,0.06,0.18,0.18
2045704,0.0,0.12,0.12
2045807,0.12,0.12,0.12
2045910,-0.12,0.24,0.06
2046013,0.0,0.18,0.18
2046115,0.12,0.12,0.18
2046218,-0.55,0.37,0.0
2046320,-0.61,0.24,-0.06
2046423,-0.31,0.24,0.0
2046526,-0.49,0.24,0.0
2046628,0.24,0.12,0.06
2046731,-0.06,0.18,0.18
2046833,-0.12,0.31,0.18
2046936,-0.06,0.18,0.18
2047039,0.06,0.24,0.24
2047142,0.49,0.12,0.37
2047244,0.24,0.06,0.24
2047347,0.06,0.0,0.24
2047449,0.24,0.43,0.55
2047552,-0.79,0.43,0.43
2047655,0.18,0.12,0.37
2047758,0.06,0.12,0.24
2047860,0.73,-0.18,0.79
2047963,0.49,-0.24,1.77
2048066,1.22,0.24,1.16
2048169,1.22,-0.18,0.92
2048271,-0.98,0.55,0.98
2048374,2.5,-0.43,0.67
2048477,-0.18,0.24,0.0
2048579,-0.43,0.12,0.0
2048682,0.98,-0.24,1.16
2048785,-0.49,-0.43,0.18
2048887,0.18,0.49,0.18
2048990,-0.73,0.85,-0.12
2049093,-0.18,-0.61,-0.37
2049195,0.12,0.06,0.12
2049298,-0.79,0.49,0.24
2049401,-0.12,0.18,0.0
2049503,0.0,0.0,0.06
2049605,0.24,-0.12,0.31
2049708,-0.06,0.18,0.0
2049810,0.06,0.24,0.0
2049913,0.24,0.18,0.31
2050015,-0.06,0.18,0.06
2050118,0.0,0.06,0.18
2050221,-0.24,0.06,0.24
2050324,-0.31,0.18,0.24
2050426,-1.16,0.67,0.37
2050529,-0.61,0.49,0.85
2050632,-0.73,0.06,0.37
2050735,-0.18,-0.12,0.37
2050838,0.49,-0.24,0.12
2050941,0.24,-0.06,0.24
2051044,0.49,0.0,0.61
2051146,0.0,-0.06,0.79
2051249,-0.92,0.18,0.43
2051352,-0.31,0.18,0.18
2051454,-0.24,0.18,0.06
2051557,0.31,0.06,0.31
2051659,0.55,0.06,0.31
2051761,0.18,0.37,-0.18
2051864,0.55,0.24,0.12
2051966,0.43,0.06,0.31
2052069,-0.12,0.18,0.31
2052172,-0.06,0.18,0.37
2052275,0.18,0.06,0.12
2052377,-0.24,0.18,0.24
2052480,0.12,0.18,0.37
2052583,0.12,0.06,0.06
2052685,-0.06,0.18,0.18
2052788,0.18,0.12,0.43
2052890,-1.16,0.49,1.22
2052993,-0.61,-0.06,1.1
2053095,-0.18,-0.43,0.18
2053198,1.77,-0.12,-1.65
2053300,4.58,1.16,-3.11
2053403,0.0,0.37,-0.18
2053506,0.06,0.06,0.18
2053610,0.12,0.0,-0.06
2053714,0.06,0.18,0.37
2053816,0.31,0.06,0.24
2053919,-0.12,0.18,0.18
2054021,0.06,0.12,0.12
2054123,0.06,0.18,0.31
2054226,0.18,0.06,0.18
2054328,0.12,0.18,0.24
2054431,-0.06,0.12,0.12
2054533,0.0,0.18,0.18
2054635,0.37,0.06,0.24
2054738,0.06,0.18,0.24
2054840,0.06,0.06,0.12
2054943,0.06,0.18,0.24
2055045,0.12,0.12,0.12
2055147,0.12,0.18,0.18
2055250,-0.06,0.18,0.18
2055353,0.31,0.06,0.24
2055455,0.12,0.12,0.12
2055557,0.18,0.12,0.31
2055660,0.06,0.12,0.12
2055762,0.12,0.12,0.12
2055865,0.18,0.12,0.18
2055968,0.18,0.06,0.18
2056071,0.12,0.12,0.24
2056173,0.18,0.12,0.24
2056275,0.06,0.12,0.24
2056377,0.12,0.12,0.12
2056480,0.24,0.12,0.24
2056582,0.37,0.06,0.12
2056684,0.37,0.12,0.24
2056787,-0.18,0.12,0.18
2056889,-0.24,0.24,0.12
2056992,0.06,0.12,0.18
2057094,0.18,0.06,0.18
2057197,0.24,0.06,0.18
2057299,0.18,0.12,0.18
2057402,0.24,0.12,0.18
2057504,0.06,0.12,0.18
2057607,0.31,0.06,0.24
2057709,0.12,0.18,0.24
2057811,0.12,0.12,0.18
2057914,0.06,0.18,0.24
2058017,0.06,0.12,0.18
2058119,0.37,0.0,0.31
2058222,-0.06,0.18,0.37
2058570,0.06,0.12,0.18
2058672,0.18,0.12,0.24
2058775,0.18,0.12,0.18
2058878,0.24,0.12,0.31
2058980,0.18,0.18,0.24
2059083,0.18,0.12,0.24
2059186,0.06,0.12,0.24
2059288,0.18,0.12,0.31
2059391,0.12,0.18,0.24
2059493,0.18,0.06,0.24
2059596,0.24,0.06,0.24
2059699,0.24,0.12,0.24
2059801,0.18,0.06,0.18
2059903,0.43,0.0,0.24
2060005,0.12,0.12,0.24
2060108,0.18,0.12,0.24
2060210,0.06,0.18,0.31
2060312,0.06,0.12,0.18
2060415,0.24,0.12,0.31
2060517,0.06,0.12,0.24
2060620,0.12,0.06,0.06
2060723,0.06,0.12,0.24
2060825,0.06,0.12,0.18
2060927,0.18,0.12,0.24
2061030,0.12,0.12,0.18
2061132,0.12,0.12,0.12
2061234,0.18,0.06,0.12
2061337,0.18,0.12,0.18
2061439,0.24,0.06,0.24
2061541,0.18,0.12,0.24
2061644,0.18,0.18,0.31
2061746,0.06,0.18,0.18
2061849,0.12,0.12,0.18
2061951,0.12,0.18,0.24
2062053,0.18,0.12,0.12
2062156,0.06,0.12,0.18
2062259,0.18,0.06,0.18
2062362,0.0,0.18,0.31
2062464,-0.06,0.12,0.12
2062567,0.06,0.18,0.18
2062669,0.12,0.06,0.12
2062772,0.12,0.12,0.24
2062874,0.24,0.12,0.43
2062977,0.24,0.06,0.18
2063079,0.12,0.12,0.24
2063181,0.18,0.12,0.18
2063284,0.24,0.12,0.24
2063387,0.06,0.06,0.18
2063489,0.18,0.06,0.18
2063592,0.24,0.12,0.12
2063695,0.12,0.12,0.24
2063797,0.18,0.12,0.18
2063900,0.18,0.12,0.18
2064002,0.12,0.18,0.24
2064105,0.06,0.12,0.24
2064208,0.06,0.12,0.18
2064311,0.18,0.12,0.24
2064413,0.18,0.12,0.18
2064516,0.37,0.12,0.18
2064618,0.06,0.06,0.31
2064721,0.06,0.18,0.18
2064825,0.18,0.12,0.18
2064927,0.06,0.12,0.18
2065030,-0.06,0.12,0.24
2065133,0.12,0.18,0.12
2065236,0.06,0.12,0.24
2065338,0.0,0.12,0.12
2065441,0.12,0.12,0.24
2065544,0.06,0.18,0.18
2065646,0.24,0.12,0.31
2065749,0.18,0.12,0.24
2065852,0.18,0.12,0.24
2065955,0.24,0.12,0.24
2066058,0.06,0.12,0.18
2066160,0.18,0.06,0.18
2066263,0.18,0.06,0.18
2066365,0.18,0.06,0.18
2066468,0.24,0.12,0.24
2066571,0.12,0.18,0.24
2066673,0.0,0.18,0.18
2066776,0.12,0.18,0.24
2066878,0.06,0.12,0.18
2066981,0.12,0.12,0.18
2067083,0.12,0.12,0.18
2067186,0.0,0.12,0.12
2067289,0.0,0.12,0.06
2067391,0.24,0.12,0.18
2067494,0.31,0.0,0.18
2067596,0.24,0.06,0.31
2067699,0.37,0.12,0.31
2067801,0.43,0.06,0.31
2067904,0.0,0.18,0.31
2068006,0.24,0.06,0.24
2068109,0.06,0.18,0.31
2068212,0.24,0.12,0.31
2068314,0.12,0.06,0.06
2068416,0.18,0.06,0.18
2068519,0.12,0.12,0.18
2068621,0.06,0.12,0.18
2068723,0.12,0.12,0.18
2068826,0.12,0.06,0.18
2068929,0.24,0.12,0.24
2069031,0.18,0.12,0.24
2069134,0.24,0.12,0.18
2069236,0.18,0.12,0.24
2069339,0.24,0.06,0.12
2069442,0.18,0.12,0.18
2069545,0.06,0.12,0.18
2069647,0.06,0.12,0.18
2069750,-0.06,0.18,0.18
2069853,-0.06,0.18,0.18
2069956,0.24,0.06,0.18
2070058,0.12,0.12,0.12
2070161,-0.06,0.18,0.12
2070263,-0.06,0.18,0.12
2070365,0.12,0.18,0.24
2070468,0.12,0.06,0.12
2070570,-0.06,0.12,0.0
2070673,0.12,0.0,0.12
2070775,-0.43,0.06,-0.31
2070878,0.12,0.0,-0.06
2070981,0.55,0.0,0.06
2071084,0.06,0.12,0.49
2071187,0.24,0.12,0.43
2071289,0.49,0.06,0.67
2071392,0.12,0.18,0.55
2071495,-1.77,-0.49,1.22
2071598,-0.61,0.37,0.31
2071700,-0.18,0.37,0.12
2071803,0.0,0.37,0.12
2071906,-0.18,0.18,0.06
2072008,0.12,0.06,0.18
2072110,0.24,0.12,0.31
2072213,0.55,0.06,0.18
2072315,0.0,0.24,0.31
2072418,0.37,0.12,0.18
2072521,-0.06,0.24,0.31
2072623,0.18,0.18,0.18
2072726,0.12,0.24,0.24
2072829,0.12,0.18,0.24
2072931,0.0,0.18,0.24
2073034,0.06,0.18,0.18
2073137,0.24,0.18,0.24
2073240,-0.18,0.24,0.24
2073342,0.18,0.31,0.31
2073445,-0.37,0.61,0.24
2073548,0.06,0.06,-0.06
2073651,-0.24,0.12,0.18
2073754,0.31,0.06,0.37
2073856,-0.37,0.18,0.06
2073959,-0.06,0.12,0.0
2074062,-0.06,0.18,0.24
2074164,-0.06,0.24,0.31
2074267,-0.06,0.12,0.06
2074369,0.0,0.12,0.43
2074472,0.0,0.12,-0.12
2074574,0.37,0.12,0.49
2074677,0.37,0.12,0.18
2074779,0.31,0.06,0.24
2074881,0.31,0.0,0.18
2074984,0.18,0.12,0.31
2075087,0.18,0.06,0.24
2075189,0.67,-0.06,0.31
2075292,0.37,0.73,0.61
2075394,-0.31,0.31,0.37
2075497,0.18,0.31,0.73
2075600,0.31,0.06,0.0
2075703,-0.12,0.18,0.12
2075806,-0.24,0.12,0.06
2075908,0.18,0.12,0.18
2076011,0.06,0.18,0.31
2076113,0.43,0.0,0.24
2076216,-0.18,0.24,0.31
2076318,0.06,0.06,0.0
2076421,-0.12,0.18,0.24
2076524,-0.06,0.12,0.12
2076626,0.0,0.24,0.24
2076729,0.12,0.06,0.06
2076831,0.0,0.18,0.24
2076934,0.18,0.0,0.0
2077036,0.0,0.18,0.37
2077139,0.31,0.06,0.24
2077242,0.24,0.12,0.24
2077344,0.18,0.18,0.31
2077447,0.06,0.12,0.12
2077549,-0.06,0.18,0.18
2077652,0.24,0.06,0.18
2077754,0.06,0.06,0.12
2077857,0.18,0.12,0.24
2077959,0.0,0.18,0.24
2078062,-0.12,0.18,0.24
2078165,0.06,0.06,0.18
2078268,0.06,0.12,0.18
2078371,0.24,0.12,0.31
2078474,0.24,0.12,0.31
2078576,0.06,0.18,0.37
2078679,0.12,0.06,0.06
2078781,0.06,0.18,0.24
2078884,0.12,0.06,0.06
2078986,0.06,0.06,0.24
2079089,0.37,0.06,0.18
2079192,0.31,0.12,0.18
2079295,0.43,0.12,0.49
2079397,0.55,0.0,0.31
2079500,15.26,0.24,0.55
2079603,0.31,0.12,0.18
2079705,-0.18,0.18,0.24
2079808,-0.31,0.12,0.06
2079910,0.06,0.06,-0.06
2080013,-0.31,0.18,0.24
2080116,0.24,0.06,0.12
2080218,1.22,0.12,-0.37
2080321,-0.24,0.06,0.12
2080424,0.92,-0.43,-0.73
2080526,-0.24,0.12,0.0
2080629,1.34,-0.43,-0.31
2080732,1.04,-0.18,0.24
2080834,-2.5,0.24,0.37
2080937,0.85,-0.49,-0.31
2081039,-0.61,0.49,0.61
2081142,-2.14,0.98,0.92
2081244,0.31,0.43,1.04
2081347,2.2,-0.55,-0.61
2081450,1.46,-1.34,-2.32
2081552,-1.53,0.98,1.28
2081655,0.92,-0.12,0.0
2081757,0.06,0.24,0.43
2081860,0.06,0.06,0.06
2081962,0.12,0.18,0.37
2082064,0.55,0.0,-0.06
2082167,-0.06,0.18,0.24
2082270,0.24,0.0,0.12
2082372,0.06,0.18,0.24
2082475,0.31,0.06,0.12
2082577,0.12,0.18,0.31
2082679,0.06,0.12,0.18
2082782,0.06,0.12,0.24
2082885,0.18,0.12,0.24
2082987,0.12,0.12,0.24
2083089,0.06,0.12,0.24
2083192,0.18,0.12,0.24
2083295,0.12,0.12,0.18
2083398,0.12,0.12,0.24
2083501,0.24,0.12,0.24
2083603,0.18,0.18,0.24
2083706,0.18,0.12,0.18
2083808,0.12,0.12,0.12
2083911,0.0,0.12,0.18
2084013,0.12,0.06,0.12
2084115,0.18,0.12,0.31
2084217,0.12,0.12,0.24
2084320,0.18,0.12,0.31
2084422,0.24,0.06,0.24
2084525,0.12,0.12,0.24
2084628,0.18,0.12,0.18
2084731,0.06,0.06,0.18
2084833,0.24,0.12,0.18
2084936,0.12,0.12,0.24
2085038,0.06,0.12,0.18
2085141,0.0,0.12,0.18
2085243,0.18,0.12,0.18
2085346,0.18,0.12,0.24
2085448,0.24,0.12,0.31
2085551,0.18,0.12,0.31
2085653,0.18,0.12,0.31
2085756,0.18,0.12,0.24
2085858,0.06,0.06,0.18
2085961,0.24,0.06,0.18
2086064,0.12,0.12,0.24
2086167,0.0,0.12,0.18
2086270,0.06,0.12,0.18
2086372,0.12,0.12,0.18
2086475,0.06,0.12,0.18
2086577,0.12,0.12,0.24
2086680,0.24,0.12,0.24
2086782,0.18,0.12,0.24
2086885,0.18,0.12,0.24
2086987,0.24,0.06,0.24
2087090,0.18,0.12,0.24
2087193,0.12,0.12,0.18
2087295,0.12,0.18,0.18
2087397,0.06,0.12,0.18
2087500,0.0,0.12,0.24
2087602,0.12,0.12,0.18
2087705,-0.06,0.18,0.18
2087807,1.1,-0.67,-0.31
2087910,0.06,-0.06,1.22
2088012,-3.23,0.37,0.85
2088115,0.24,0.12,0.0
2088217,-2.14,0.49,0.73
2088319,-3.48,-1.28,0.06
2088422,-0.49,-0.12,1.59
2088525,1.34,0.73,0.67
2088628,0.12,0.24,0.12
2088730,-0.43,0.31,-0.12
2088833,0.55,0.43,0.24
2088935,-3.78,0.12,2.93
2089038,0.12,-2.01,1.53
2089140,2.44,-1.77,0.49
2089242,0.06,-0.31,0.98
2089345,0.31,0.0,0.37
2089447,-1.16,0.49,0.73
2089550,0.98,-0.73,-0.37
2089652,-0.67,0.43,0.31
2089754,-1.34,1.22,0.67
2089857,-2.56,1.83,0.37
2089959,-0.73,0.73,-0.24
2090062,-1.4,1.28,0.49
2090165,-1.34,0.61,0.06
2090267,-0.12,0.85,0.79
2090371,1.22,0.31,-0.43
2090473,1.04,0.06,-0.18
2090577,0.06,-0.06,-0.67
2090679,0.0,1.59,-0.79
2090782,-1.59,1.28,-0.73
2090885,0.24,0.73,-0.06
2090988,-0.73,0.61,0.0
2091091,1.22,-0.12,-0.06
2091193,-0.61,0.31,0.06
2091296,0.18,0.18,0.24
2091398,0.06,0.24,0.24
2091501,-0.98,0.12,0.18
2091604,0.12,0.31,0.49
2091706,0.0,0.24,0.31
2091809,0.73,-0.12,0.0
2091912,0.67,0.0,0.12
2092014,-0.61,0.12,-0.06
2092117,-1.83,-0.06,-0.24
2092220,0.37,-0.24,-0.31
2092322,-0.73,0.49,0.55
2092425,0.37,-0.06,-0.12
2092527,0.0,0.12,0.31
2092629,0.18,-0.06,-0.12
2092732,0.12,0.31,0.49
2092834,0.43,0.12,0.12
2092936,0.12,0.18,0.37
2093039,2.01,-0.24,0.12
2093142,0.61,-0.12,0.0
2093244,-0.37,0.18,0.06
2093347,-0.31,0.24,0.24
2093450,0.24,0.0,0.18
2093553,0.31,0.06,0.18
2093655,0.0,0.12,0.12
2093758,-0.06,0.18,0.31
2093861,0.12,0.12,0.18
2093964,0.55,0.12,0.24
2094067,0.0,0.12,0.24
2094169,1.71,0.24,1.34
2094271,1.83,-0.18,0.43
2094373,-0.12,0.37,0.31
2094476,1.28,-0.06,0.18
2094822,0.43,0.06,0.12
2094925,0.73,-0.06,0.43
2095028,-1.34,0.18,-0.12
2095131,-0.31,0.18,0.12
2095233,0.06,0.06,0.18
2095336,0.12,0.12,0.24
2095439,0.18,0.12,0.24
2095542,0.12,0.12,0.18
2095644,0.06,0.12,0.18
2095747,0.06,0.12,0.31
2095849,0.18,0.12,0.31
2095951,0.24,0.06,0.18
2096054,0.24,0.06,0.24
2096156,0.24,0.12,0.18
2096259,0.06,0.12,0.24
